ParentLocationID,POIName,POIType,POILat,POILng,POIDescription,POIDescriptionOld
3,London Eye,Activity,51.5033,-0.1195,Large observation wheel on the South Bank offering panoramic views of the city skyline.,Large observation wheel on the South Bank offering panoramic views of the city skyline.
3,Westminster Abbey,Sight,51.4994,-0.1273,Historic Gothic church (UNESCO site) where monarchs are crowned and many famous figures are buried.,Historic Gothic church (UNESCO site) where monarchs are crowned and many famous figures are buried.
3,Houses of Parliament (Big Ben),Sight,51.4995,-0.1246,Seat of the UK Parliament featuring the iconic Elizabeth Tower clock (often called Big Ben).,Seat of the UK Parliament featuring the iconic Elizabeth Tower clock (often called Big Ben).
3,National Gallery,Museum,51.5089,-0.1283,Major art museum in Trafalgar Square housing European paintings from the 13th to 19th centuries (free admission).,Major art museum in Trafalgar Square housing European paintings from the 13th to 19th centuries (free admission).
3,Hyde Park,Park,51.5073,-0.1657,"One of London's largest Royal Parks offering green space, Speaker's Corner, and the Serpentine Lake.","One of London's largest Royal Parks offering green space, Speaker's Corner, and the Serpentine Lake."
3,Shakespeare's Globe,Sight,51.5081,-0.0972,"Reconstruction of the Elizabethan playhouse associated with William Shakespeare, hosting performances and tours.","Reconstruction of the Elizabethan playhouse associated with William Shakespeare, hosting performances and tours."
3,Borough Market,Activity,51.5055,-0.0913,"Historic food market near London Bridge offering diverse street food, fresh produce, and artisanal goods.","Historic food market near London Bridge offering diverse street food, fresh produce, and artisanal goods."
4,Sagrada Família,Sight,41.4036,2.1744,"Antoni Gaudí's unfinished masterpiece basilica (UNESCO site), known for its unique nature-inspired architecture.","Antoni Gaudí's unfinished masterpiece basilica (UNESCO site), known for its unique nature-inspired architecture."
4,Park Güell,Park,41.4145,2.1529,"Whimsical park by Gaudí (UNESCO site) featuring colourful mosaics, unique structures, and great city views.","Whimsical park by Gaudí (UNESCO site) featuring colourful mosaics, unique structures, and great city views."
4,Gothic Quarter,Activity,41.3825,2.1769,"Historic center of Barcelona with narrow medieval streets, charming squares, and the Barcelona Cathedral.","Historic center of Barcelona with narrow medieval streets, charming squares, and the Barcelona Cathedral."
4,Casa Batlló,Sight,41.3916,2.165,Famous modernist building by Gaudí (UNESCO site) with a fantastical façade resembling bones and masks.,Famous modernist building by Gaudí (UNESCO site) with a fantastical façade resembling bones and masks.
4,Las Ramblas,Activity,41.3814,2.1729,"Bustling tree-lined pedestrian boulevard famous for street performers, flower stalls, and lively atmosphere.","Bustling tree-lined pedestrian boulevard famous for street performers, flower stalls, and lively atmosphere."
4,Camp Nou Experience,Activity,41.3809,2.1228,"Tour of FC Barcelona's famous football stadium, including the museum and pitch access.","Tour of FC Barcelona's famous football stadium, including the museum and pitch access."
4,Picasso Museum,Museum,41.3852,2.1809,"Museum housing an extensive collection of artworks by Pablo Picasso, focusing on his early years.","Museum housing an extensive collection of artworks by Pablo Picasso, focusing on his early years."
4,Magic Fountain of Montjuïc,Sight,41.3713,2.1517,"Spectacular fountain offering choreographed displays of water, light, and music on select evenings.","Spectacular fountain offering choreographed displays of water, light, and music on select evenings."
4,Barceloneta Beach,Activity,41.378,2.19,"Barcelona's most famous city beach offering sand, sea, restaurants, and a lively atmosphere.","Barcelona's most famous city beach offering sand, sea, restaurants, and a lively atmosphere."
4,Mercado de La Boqueria,Activity,41.3818,2.1716,"Famous public market off Las Ramblas offering a vibrant array of fresh produce, seafood, tapas, and juices.","Famous public market off Las Ramblas offering a vibrant array of fresh produce, seafood, tapas, and juices."
5,Anne Frank House,Museum,52.3752,4.884,Museum preserving the secret annex where Anne Frank hid and wrote her diary during WWII (book well in advance).,Museum preserving the secret annex where Anne Frank hid and wrote her diary during WWII (book well in advance).
5,Rijksmuseum,Museum,52.36,4.8852,"Netherlands' national museum showcasing Dutch art and history, including Rembrandt's ""The Night Watch"".","Netherlands' national museum showcasing Dutch art and history, including Rembrandt's ""The Night Watch""."
5,Van Gogh Museum,Museum,52.3584,4.8811,Museum housing the world's largest collection of artworks by Vincent van Gogh and his contemporaries.,Museum housing the world's largest collection of artworks by Vincent van Gogh and his contemporaries.
5,Canal Cruise,Activity,52.37,4.89,"Relaxing boat tour offering unique views of Amsterdam's historic canal houses, bridges, and landmarks.","Relaxing boat tour offering unique views of Amsterdam's historic canal houses, bridges, and landmarks."
5,Vondelpark,Park,52.358,4.8687,"Amsterdam's largest park, popular for picnics, walks, cycling, and open-air performances.","Amsterdam's largest park, popular for picnics, walks, cycling, and open-air performances."
5,Dam Square,Sight,52.373,4.8926,"Central square of Amsterdam, home to the Royal Palace, National Monument, and Nieuwe Kerk.","Central square of Amsterdam, home to the Royal Palace, National Monument, and Nieuwe Kerk."
5,Jordaan District,Activity,52.377,4.882,"Charming neighborhood known for narrow streets, canals, independent boutiques, galleries, and traditional pubs.","Charming neighborhood known for narrow streets, canals, independent boutiques, galleries, and traditional pubs."
5,Heineken Experience,Activity,52.3578,4.8917,"Interactive brewery tour at the former Heineken brewery, including beer tastings.","Interactive brewery tour at the former Heineken brewery, including beer tastings."
5,Bloemenmarkt (Flower Market),Activity,52.3668,4.89,"World's only floating flower market on the Singel canal, selling tulips, bulbs, and souvenirs.","World's only floating flower market on the Singel canal, selling tulips, bulbs, and souvenirs."
5,Red Light District (De Wallen),Activity,52.373,4.8975,"Famous historic district known for window prostitution, canals, bars, and unique atmosphere (visit respectfully).","Famous historic district known for window prostitution, canals, bars, and unique atmosphere (visit respectfully)."
6,St. Mark's Square (Piazza San Marco),Sight,45.4342,12.3385,"Principal public square of Venice, home to St. Mark's Basilica, Doge's Palace, and Campanile; the heart of Venice.","Principal public square of Venice, home to St. Mark's Basilica, Doge's Palace, and Campanile; the heart of Venice."
6,St. Mark's Basilica,Sight,45.4346,12.3397,Opulent cathedral known for its stunning gold mosaics and Byzantine architecture.,Opulent cathedral known for its stunning gold mosaics and Byzantine architecture.
6,Doge's Palace (Palazzo Ducale),Museum,45.4339,12.3403,"Gothic palace, former seat of Venetian government; explore grand chambers and the Bridge of Sighs.","Gothic palace, former seat of Venetian government; explore grand chambers and the Bridge of Sighs."
6,Rialto Bridge (Ponte di Rialto),Sight,45.438,12.3359,"Oldest and most famous bridge crossing the Grand Canal, lined with shops and offering iconic views.","Oldest and most famous bridge crossing the Grand Canal, lined with shops and offering iconic views."
6,Grand Canal boat tour,Activity,45.44,12.33,"Journey along Venice's main waterway via vaporetto or water taxi, offering stunning views of palaces.","Journey along Venice's main waterway via vaporetto or water taxi, offering stunning views of palaces."
6,Gondola Ride,Activity,45.4342,12.3385,Iconic romantic experience gliding through Venice's narrow canals in a traditional gondola.,Iconic romantic experience gliding through Venice's narrow canals in a traditional gondola.
6,Murano,Activity,45.4586,12.3528,Island famous for its centuries-old glassmaking tradition; visit factories and watch artisans at work.,Island famous for its centuries-old glassmaking tradition; visit factories and watch artisans at work.
6,Burano,Activity,45.4857,12.4176,Picturesque island known for its brightly coloured fishermen's houses and lace-making tradition.,Picturesque island known for its brightly coloured fishermen's houses and lace-making tradition.
6,Gallerie dell'Accademia,Museum,45.4311,12.3281,"Major art museum housing pre-19th century art, focusing on Venetian painters.","Major art museum housing pre-19th century art, focusing on Venetian painters."
6,Libreria Acqua Alta,Sight,45.4391,12.3421,Unique bookstore known for storing books in bathtubs and gondolas to protect them from floods.,Unique bookstore known for storing books in bathtubs and gondolas to protect them from floods.
7,Florence Cathedral (Duomo),Sight,43.7731,11.2566,"Iconic cathedral complex featuring Brunelleschi's dome, Giotto's bell tower, and the Baptistery.","Iconic cathedral complex featuring Brunelleschi's dome, Giotto's bell tower, and the Baptistery."
7,Uffizi Gallery,Museum,43.7685,11.2555,"World-renowned art museum housing Italian Renaissance masterpieces by Botticelli, Leonardo da Vinci, etc.","World-renowned art museum housing Italian Renaissance masterpieces by Botticelli, Leonardo da Vinci, etc."
7,Ponte Vecchio,Sight,43.768,11.2532,Famous medieval bridge over the Arno River lined with shops (mostly jewelers).,Famous medieval bridge over the Arno River lined with shops (mostly jewelers).
7,Accademia Gallery (David),Museum,43.7768,11.2588,"Museum housing Michelangelo's iconic sculpture David, along with other Florentine artworks.","Museum housing Michelangelo's iconic sculpture David, along with other Florentine artworks."
7,Pitti Palace (Palazzo Pitti),Museum,43.7645,11.249,"Vast Renaissance palace housing several important museums, former home of the Medici family.","Vast Renaissance palace housing several important museums, former home of the Medici family."
7,Boboli Gardens,Park,43.763,11.2495,"Historic Italian Renaissance gardens behind the Pitti Palace featuring fountains, sculptures, and grottos.","Historic Italian Renaissance gardens behind the Pitti Palace featuring fountains, sculptures, and grottos."
7,Piazzale Michelangelo,Sight,43.7628,11.2648,"Square on a hill offering breathtaking panoramic views of Florence, especially popular at sunset.","Square on a hill offering breathtaking panoramic views of Florence, especially popular at sunset."
7,Basilica of Santa Croce,Sight,43.7687,11.2617,"Principal Franciscan church, burial place of famous Italians like Michelangelo and Galileo.","Principal Franciscan church, burial place of famous Italians like Michelangelo and Galileo."
7,Mercato Centrale,Activity,43.7768,11.2525,Bustling two-level market with fresh produce downstairs and a vibrant food hall upstairs.,Bustling two-level market with fresh produce downstairs and a vibrant food hall upstairs.
7,Oltrarno District,Activity,43.766,11.248,"Neighborhood ""across the Arno"" known for artisan workshops, traditional trattorias, and less crowded atmosphere.","Neighborhood ""across the Arno"" known for artisan workshops, traditional trattorias, and less crowded atmosphere."
8,Brandenburg Gate,Sight,52.5163,13.3777,Iconic neoclassical monument symbolizing peace and German reunification.,Iconic neoclassical monument symbolizing peace and German reunification.
8,Reichstag Building,Sight,52.5186,13.3762,"Historic building housing the German Parliament, featuring a modern glass dome offering city views (book ahead).","Historic building housing the German Parliament, featuring a modern glass dome offering city views (book ahead)."
8,East Side Gallery (Berlin Wall),Sight,52.505,13.439,"Longest remaining section of the Berlin Wall, now an open-air art gallery with murals about freedom.","Longest remaining section of the Berlin Wall, now an open-air art gallery with murals about freedom."
8,Museum Island,Museum,52.519,13.397,Complex of five world-renowned museums on an island in the Spree River (UNESCO site).,Complex of five world-renowned museums on an island in the Spree River (UNESCO site).
8,Checkpoint Charlie,Museum,52.5075,13.3904,"Famous Cold War border crossing point between East and West Berlin, with a museum and historical displays.","Famous Cold War border crossing point between East and West Berlin, with a museum and historical displays."
8,Memorial to the Murdered Jews of Europe,Sight,52.5145,13.3785,Sobering memorial commemorating Holocaust victims with concrete slabs and an information center.,Sobering memorial commemorating Holocaust victims with concrete slabs and an information center.
8,Tiergarten,Park,52.514,13.359,"Berlin's largest inner-city park, ideal for walks, cycling, and picnics.","Berlin's largest inner-city park, ideal for walks, cycling, and picnics."
8,Potsdamer Platz,Sight,52.5096,13.3759,"Modern square known for striking contemporary architecture, cinemas, shops, and restaurants; a symbol of new Berlin.","Modern square known for striking contemporary architecture, cinemas, shops, and restaurants; a symbol of new Berlin."
8,Charlottenburg Palace,Sight,52.5206,13.2957,"Largest palace in Berlin, a magnificent former royal summer residence with beautiful gardens.","Largest palace in Berlin, a magnificent former royal summer residence with beautiful gardens."
8,Berlin TV Tower (Fernsehturm),Sight,52.5208,13.4094,"Tallest structure in Germany, located near Alexanderplatz, offering panoramic views from its observation deck.","Tallest structure in Germany, located near Alexanderplatz, offering panoramic views from its observation deck."
9,Charles Bridge,Sight,50.0865,14.4112,"Historic stone bridge crossing the Vltava River, lined with statues, connecting Old Town and Lesser Town.","Historic stone bridge crossing the Vltava River, lined with statues, connecting Old Town and Lesser Town."
9,Prague Castle,Sight,50.0908,14.4013,"Vast castle complex (UNESCO site) overlooking the city, including St. Vitus Cathedral and Golden Lane.","Vast castle complex (UNESCO site) overlooking the city, including St. Vitus Cathedral and Golden Lane."
9,Old Town Square,Sight,50.0878,14.4206,"Historic heart of Prague featuring the Astronomical Clock, Týn Church, and Old Town Hall Tower.","Historic heart of Prague featuring the Astronomical Clock, Týn Church, and Old Town Hall Tower."
9,Astronomical Clock,Sight,50.087,14.4208,"Medieval clock on the Old Town Hall Tower featuring an hourly show (""Walk of the Apostles"").","Medieval clock on the Old Town Hall Tower featuring an hourly show (""Walk of the Apostles"")."
9,St. Vitus Cathedral,Sight,50.091,14.4008,Magnificent Gothic cathedral within Prague Castle housing Czech Crown Jewels and royal tombs.,Magnificent Gothic cathedral within Prague Castle housing Czech Crown Jewels and royal tombs.
9,Jewish Quarter (Josefov),Activity,50.09,14.419,"Historic Jewish ghetto with well-preserved synagogues, Jewish Museum, and Old Jewish Cemetery.","Historic Jewish ghetto with well-preserved synagogues, Jewish Museum, and Old Jewish Cemetery."
9,Petřín Hill & Lookout Tower,Park,50.082,14.3946,"Hill offering panoramic views, accessible by funicular, featuring a miniature Eiffel Tower lookout.","Hill offering panoramic views, accessible by funicular, featuring a miniature Eiffel Tower lookout."
9,Dancing House,Sight,50.0753,14.4138,Modern architectural landmark known for its unconventional deconstructivist design resembling dancers.,Modern architectural landmark known for its unconventional deconstructivist design resembling dancers.
9,National Museum,Museum,50.079,14.43,"Largest museum in Czechia, housed in a grand building overlooking Wenceslas Square.","Largest museum in Czechia, housed in a grand building overlooking Wenceslas Square."
9,Vyšehrad,Sight,50.0645,14.4185,"Historic fort on a hill overlooking the Vltava, featuring a cemetery of famous Czechs and St. Peter and Paul Basilica.","Historic fort on a hill overlooking the Vltava, featuring a cemetery of famous Czechs and St. Peter and Paul Basilica."
10,Schönbrunn Palace,Sight,48.1849,16.312,"Magnificent former imperial summer residence (UNESCO site) with opulent rooms, vast gardens, and the world's oldest zoo.","Magnificent former imperial summer residence (UNESCO site) with opulent rooms, vast gardens, and the world's oldest zoo."
10,Hofburg Palace,Sight,48.207,16.365,"Sprawling former imperial palace complex housing museums, Imperial Apartments, and the Spanish Riding School.","Sprawling former imperial palace complex housing museums, Imperial Apartments, and the Spanish Riding School."
10,St. Stephen's Cathedral,Sight,48.2083,16.3731,"Iconic Gothic cathedral, a symbol of Vienna, offering tower climbs and catacomb tours.","Iconic Gothic cathedral, a symbol of Vienna, offering tower climbs and catacomb tours."
10,Belvedere Palace,Museum,48.1914,16.3811,"Baroque palace complex housing Austrian art, including Klimt's ""The Kiss"".","Baroque palace complex housing Austrian art, including Klimt's ""The Kiss""."
10,Prater (incl. Riesenrad),Activity,48.2167,16.3964,Large public park featuring an amusement park with the iconic Giant Ferris Wheel (Riesenrad).,Large public park featuring an amusement park with the iconic Giant Ferris Wheel (Riesenrad).
10,Vienna State Opera,Sight,48.2031,16.3695,World-renowned opera house offering performances and guided tours of its stunning interior.,World-renowned opera house offering performances and guided tours of its stunning interior.
10,Ringstrasse (Ring Road),Activity,48.208,16.36,"Grand boulevard encircling the inner city, lined with magnificent buildings; ideal for tram rides or walks.","Grand boulevard encircling the inner city, lined with magnificent buildings; ideal for tram rides or walks."
10,MuseumsQuartier,Museum,48.2035,16.359,"Large cultural complex housing several museums, cafes, and shops in a vibrant modern setting.","Large cultural complex housing several museums, cafes, and shops in a vibrant modern setting."
10,Naschmarkt,Activity,48.199,16.364,"Vienna's most popular market offering diverse food stalls, restaurants, and a weekend flea market.","Vienna's most popular market offering diverse food stalls, restaurants, and a weekend flea market."
10,Hundertwasser House,Sight,48.2073,16.3942,"Unique, colourful apartment building designed by artist Friedensreich Hundertwasser; an architectural curiosity.","Unique, colourful apartment building designed by artist Friedensreich Hundertwasser; an architectural curiosity."
11,Hungarian Parliament Building,Sight,47.5071,19.0461,Magnificent Gothic Revival building on the Danube River; offers guided tours of its grand interior.,Magnificent Gothic Revival building on the Danube River; offers guided tours of its grand interior.
11,Buda Castle,Sight,47.4963,19.0395,Historic castle complex (UNESCO site) housing the Hungarian National Gallery and Budapest History Museum.,Historic castle complex (UNESCO site) housing the Hungarian National Gallery and Budapest History Museum.
11,Fisherman's Bastion,Sight,47.5021,19.0348,Fairytale-like terrace on Buda Hill offering stunning panoramic views of Pest and the Parliament.,Fairytale-like terrace on Buda Hill offering stunning panoramic views of Pest and the Parliament.
11,Matthias Church,Sight,47.5018,19.0343,"Beautiful Gothic church in the Buda Castle complex, known for its colourful tiled roof.","Beautiful Gothic church in the Buda Castle complex, known for its colourful tiled roof."
11,Széchenyi Thermal Bath,Activity,47.5184,19.0822,"Largest medicinal bath in Europe, located in City Park, featuring numerous indoor and outdoor pools.","Largest medicinal bath in Europe, located in City Park, featuring numerous indoor and outdoor pools."
11,St. Stephen's Basilica,Sight,47.5008,19.0537,Grand neoclassical basilica housing the revered right hand of St. Stephen; offers dome views.,Grand neoclassical basilica housing the revered right hand of St. Stephen; offers dome views.
11,Széchenyi Chain Bridge,Sight,47.4991,19.0451,Iconic suspension bridge connecting Buda and Pest across the Danube River.,Iconic suspension bridge connecting Buda and Pest across the Danube River.
11,Great Market Hall,Activity,47.4873,19.0585,"Large indoor market offering fresh produce, local delicacies, souvenirs, and food stalls.","Large indoor market offering fresh produce, local delicacies, souvenirs, and food stalls."
11,Gellért Hill & Citadella,Sight,47.486,19.046,"Hill offering panoramic city views, topped by the Citadella fortress and Liberty Statue.","Hill offering panoramic city views, topped by the Citadella fortress and Liberty Statue."
11,Dohány Street Synagogue,Sight,47.4958,19.06,"Largest synagogue in Europe, located in the historic Jewish Quarter, featuring Moorish Revival architecture.","Largest synagogue in Europe, located in the historic Jewish Quarter, featuring Moorish Revival architecture."
12,Belém Tower,Sight,38.6916,-9.216,"Iconic Manueline tower (UNESCO site) on the Tagus River, symbolizing Portugal's Age of Discovery.","Iconic Manueline tower (UNESCO site) on the Tagus River, symbolizing Portugal's Age of Discovery."
12,Jerónimos Monastery,Sight,38.6978,-9.2067,"Magnificent monastery in Belém (UNESCO site), a masterpiece of Manueline architecture.","Magnificent monastery in Belém (UNESCO site), a masterpiece of Manueline architecture."
12,São Jorge Castle,Sight,38.7139,-9.1335,"Historic castle overlooking Lisbon from a hilltop, offering panoramic city views.","Historic castle overlooking Lisbon from a hilltop, offering panoramic city views."
12,Ride Tram 28,Activity,38.71,-9.14,Famous vintage yellow tram route offering a scenic ride through Lisbon's charming neighborhoods.,Famous vintage yellow tram route offering a scenic ride through Lisbon's charming neighborhoods.
12,Alfama District,Activity,38.712,-9.13,"Oldest district of Lisbon, known for narrow cobblestone streets, Fado music houses, and historic atmosphere.","Oldest district of Lisbon, known for narrow cobblestone streets, Fado music houses, and historic atmosphere."
12,Praça do Comércio,Sight,38.7075,-9.1365,Grand harbor-facing square featuring a triumphal arch and impressive arcades.,Grand harbor-facing square featuring a triumphal arch and impressive arcades.
12,Rossio Square,Sight,38.7138,-9.1394,"Lively central square known for its wave-patterned pavement, fountains, and surrounding cafes.","Lively central square known for its wave-patterned pavement, fountains, and surrounding cafes."
12,Santa Justa Lift,Sight,38.7121,-9.1394,"Ornate historic elevator connecting Baixa district with Carmo Square, offering panoramic views.","Ornate historic elevator connecting Baixa district with Carmo Square, offering panoramic views."
12,Time Out Market Lisboa,Activity,38.7065,-9.1459,"Bustling modern food hall housed in a historic market building, offering diverse food stalls.","Bustling modern food hall housed in a historic market building, offering diverse food stalls."
12,LX Factory,Activity,38.703,-9.1793,"Trendy industrial complex housing restaurants, bars, shops, art studios, and creative businesses.","Trendy industrial complex housing restaurants, bars, shops, art studios, and creative businesses."
13,Alcázar of Seville,Sight,37.3827,-5.9905,Stunning royal palace complex (UNESCO site) featuring Mudéjar architecture and beautiful gardens.,Stunning royal palace complex (UNESCO site) featuring Mudéjar architecture and beautiful gardens.
13,Seville Cathedral & Giralda Tower,Sight,37.3858,-5.993,Largest Gothic cathedral in the world (UNESCO site); climb the Giralda (former minaret) for views.,Largest Gothic cathedral in the world (UNESCO site); climb the Giralda (former minaret) for views.
13,Plaza de España,Sight,37.3771,-5.9869,Magnificent semi-circular plaza known for colourful tilework representing Spanish provinces.,Magnificent semi-circular plaza known for colourful tilework representing Spanish provinces.
13,Parque de María Luisa,Park,37.376,-5.988,"Large public park adjacent to Plaza de España offering shaded pathways, fountains, and pavilions.","Large public park adjacent to Plaza de España offering shaded pathways, fountains, and pavilions."
13,Metropol Parasol (Las Setas),Sight,37.393,-5.9918,"Modern architectural structure resembling giant mushrooms, offering a walkway with panoramic views.","Modern architectural structure resembling giant mushrooms, offering a walkway with panoramic views."
13,Barrio Santa Cruz,Activity,37.3845,-5.989,"Charming former Jewish quarter with narrow winding streets, whitewashed walls, and tapas bars.","Charming former Jewish quarter with narrow winding streets, whitewashed walls, and tapas bars."
13,Triana District,Activity,37.385,-6.003,"Neighborhood across the river known for ceramics, flamenco heritage, and lively market.","Neighborhood across the river known for ceramics, flamenco heritage, and lively market."
13,Torre del Oro,Sight,37.3826,-5.9964,"Historic military watchtower on the Guadalquivir River, housing a small naval museum.","Historic military watchtower on the Guadalquivir River, housing a small naval museum."
13,Attend a Flamenco Show,Activity,37.385,-5.99,Experience the passion and artistry of traditional flamenco dancing and music in its Andalusian birthplace.,Experience the passion and artistry of traditional flamenco dancing and music in its Andalusian birthplace.
13,Plaza de Toros de la Maestranza,Sight,37.386,-5.998,"Historic bullring, one of the most famous in Spain, offering tours and a museum.","Historic bullring, one of the most famous in Spain, offering tours and a museum."
14,Prado Museum,Museum,40.4138,-3.6921,"Spain's main national art museum featuring masterpieces by Velázquez, Goya, El Greco, and others.","Spain's main national art museum featuring masterpieces by Velázquez, Goya, El Greco, and others."
14,Royal Palace of Madrid,Sight,40.4179,-3.7141,Official residence of the Spanish Royal Family (used for ceremonies); offers tours of opulent state rooms.,Official residence of the Spanish Royal Family (used for ceremonies); offers tours of opulent state rooms.
14,Retiro Park (Parque del Retiro),Park,40.4145,-3.683,"Large, beautiful park featuring a boating lake, Crystal Palace, gardens, and statues.","Large, beautiful park featuring a boating lake, Crystal Palace, gardens, and statues."
14,Puerta del Sol,Sight,40.4168,-3.7038,"Bustling central square, Kilometer Zero marker, featuring the Bear and Strawberry Tree statue.","Bustling central square, Kilometer Zero marker, featuring the Bear and Strawberry Tree statue."
14,Plaza Mayor,Sight,40.4154,-3.7074,"Grand historic rectangular square enclosed by buildings, lined with cafes and restaurants.","Grand historic rectangular square enclosed by buildings, lined with cafes and restaurants."
14,Gran Vía,Activity,40.42,-3.705,"Major upscale shopping street known for early 20th-century architecture, theaters, and shops.","Major upscale shopping street known for early 20th-century architecture, theaters, and shops."
14,Reina Sofía Museum,Museum,40.4081,-3.6945,"Museum dedicated to Spanish modern art, housing Picasso's ""Guernica"".","Museum dedicated to Spanish modern art, housing Picasso's ""Guernica""."
14,Temple of Debod,Sight,40.4242,-3.718,Ancient Egyptian temple rebuilt in a park offering beautiful sunset views.,Ancient Egyptian temple rebuilt in a park offering beautiful sunset views.
14,Mercado San Miguel,Activity,40.4157,-3.7084,"Historic covered market near Plaza Mayor, now a popular gourmet food market.","Historic covered market near Plaza Mayor, now a popular gourmet food market."
14,Santiago Bernabéu Stadium,Activity,40.4531,-3.6883,Home stadium of Real Madrid football club; offers tours (may be affected by renovations).,Home stadium of Real Madrid football club; offers tours (may be affected by renovations).
15,Guinness Storehouse,Activity,53.3419,-6.2867,"Popular attraction telling the story of Guinness beer, with a rooftop Gravity Bar offering city views.","Popular attraction telling the story of Guinness beer, with a rooftop Gravity Bar offering city views."
