LocationID,LocationName,Country,Language,Type,Budget,Best Time to Visit,Travel Style,Suitable For,Keywords/Main Attractions,Latitude,Longitude,Description
18,Copenhagen,Denmark,Danish,city,Luxury,"Summer, Late Spring","Design, Hygge Culture, Cycling, Historical, Canals, Fairytales","Couples, Design Lovers, Cyclists, History Buffs, Relaxed Travelers, foods, Families","Design, hygge culture, cycling, history, canals, fairytales",55.6761,12.5683,"Visit the iconic Little Mermaid statue, explore the colorful Nyhavn harbor, and have fun at the historic Tivoli Gardens amusement park. Experience Danish 'hygge' in cozy cafes and enjoy the city's bike-friendly streets. Copenhagen is a cool and charming capital."
19,Oslo,Norway,Norwegian,city,Luxury,"Summer, Late Spring","Fjords Nearby, Viking History, Museums, Nature, Modern Architecture","Couples, Nature Enthusiasts (Fjords nearby), History Buffs (Viking), Modern Architecture Fans, Museum Lovers, Families","Fjords nearby, Viking history, museums, nature, modern architecture",59.9139,10.7522,Explore Norway's capital by a beautiful fjord and visit the Viking Ship Museum. Walk on the roof of the modern Opera House and explore the sculptures in Vigeland Park. Oslo mixes stunning nature with modern architecture and fascinating history.
20,Helsinki,Finland,"Finnish, Swedish",city,Luxury,"Summer, Late Spring","Design, Islands, Sauna Culture, Nature, Modern & Traditional","Couples, Design Lovers, Nature Enthusiasts, Sauna Culture Seekers, Modern & Traditional Blend Fans, Architecture Fans, Families","Design, islands, sauna culture, nature, modern & traditional",60.1699,24.9384,"Discover unique Finnish architecture, like the Helsinki Cathedral and the Rock Church. Relax in a traditional Finnish sauna and explore the Suomenlinna sea fortress, a UNESCO World Heritage site. Helsinki is a stylish coastal city blending design and nature."
21,Reykjavik,Iceland,Icelandic,city,Luxury,"Summer, Winter (Northern Lights)","Northern Lights, Geothermal Spas, Nature, Volcanic Landscapes, Unique","Couples, Adventure Seekers, Nature Lovers, Unique Experience Seekers, Northern Lights Hunters (Winter), Geothermal Enthusiasts","Northern Lights, geothermal spas, nature, volcanic landscapes",64.1466,-21.9426,"Explore Iceland's vibrant capital, the starting point for wonders like the Blue Lagoon and the Northern Lights (in winter). Visit the unique Hallgrímskirkja church and enjoy the lively arts scene. Reykjavik is a gateway to dramatic landscapes."
22,Athens,Greece,Greek,city,Mid-range,"Spring, Autumn","Ancient History, Acropolis, Greek Culture, Food, Sunny, Coastal","Couples, History Buffs, Culture Seekers, foods, Sunny Weather & Beach Lovers (nearby), Archaeology Fans, Families","Ancient history, Acropolis, Greek culture, food, sunny, coastal",37.9838,23.7275,"Step back in time visiting ancient marvels like the Acropolis with the Parthenon. Explore the charming Plaka district with its shops and tavernas, and visit world-class archaeological museums. Athens offers millennia of history under the sun."
23,Istanbul,Turkey,Turkish,city,Budget-friendly to Mid-range,"Spring, Autumn","History, Culture Blending, Bazaars, Mosques, Unique Geography","Couples, Culture Seekers, History Buffs (Ottoman/Byzantine), foods, Shoppers (Bazaars), Unique Experience Seekers, Families","History, culture blending, bazaars, mosques, unique geography",41.0082,28.9784,"Discover a city where East meets West, exploring stunning sights like the Hagia Sophia and Blue Mosque. Get lost in the bustling Grand Bazaar and enjoy a boat trip on the Bosphorus Strait. Istanbul is a magical city spanning two continents."
24,Krakow,Poland,Polish,city,Budget-friendly,"Spring, Summer, Autumn","Historical, Medieval Old Town, Jewish Quarter, Cultural","Couples, Budget Travelers, History Buffs, Culture Seekers, Young Adults, Nightlife Seekers, Families","History, medieval old town, Jewish quarter, culture",50.0647,19.945,"Explore the beautiful Main Market Square, one of Europe's largest medieval squares, and visit the historic Wawel Castle. Take a moving trip to the nearby Auschwitz-Birkenau Memorial and Museum. Krakow is a charming Polish city with a rich history."
25,Warsaw,Poland,Polish,city,Budget-friendly to Mid-range,"Spring, Summer, Autumn","Historical, Rebuilt City, Museums, Modern Vibe, Cultural, Resilience","Couples, Budget Travelers, History Buffs, Culture Seekers, Modern History Fans, Resilient City Explorers, Families","History, rebuilt city, museums, modern vibe, culture",52.2297,21.0122,"Discover a city rebuilt after WWII, contrasting the charming reconstructed Old Town with modern skyscrapers. Visit the Warsaw Rising Museum and explore Łazienki Park with its palace on the water. Warsaw showcases Poland's past and future."
26,Riga,Latvia,Latvian,city,Budget-friendly to Mid-range,"Spring, Summer","Art Nouveau Architecture, Historical, Baltic Charm, Cultural, Coast Nearby","Couples, Budget Travelers, Architecture Lovers (Art Nouveau), Culture Seekers, Baltic Charm Seekers","Art Nouveau architecture, history, Baltic charm, culture, coast nearby",56.9496,24.1052,"Wander through the beautiful Old Town, a UNESCO World Heritage site famous for its stunning Art Nouveau architecture. Explore the lively Central Market housed in former Zeppelin hangars. Riga is the vibrant capital of Latvia, known for its architecture."
27,Vilnius,Lithuania,Lithuanian,city,Budget-friendly,"Spring, Summer","Baroque Old Town, Historical, Cultural, Green Spaces","Couples, Budget Travelers, History Buffs, Culture Seekers, Green Space Lovers, Baroque Architecture Fans","Baroque old town, history, culture, green spaces",54.6872,25.2797,"Explore the charming Baroque Old Town, a UNESCO site, with its many churches and cobblestone streets. Visit Gediminas' Tower for city views and discover the quirky Užupis district. Vilnius is a beautiful Lithuanian city full of history and art."
28,Tallinn,Estonia,Estonian,city,Budget-friendly to Mid-range,"Spring, Summer","Medieval Old Town, Historical, Technology, Cultural, Baltic Charm","Couples, Budget Travelers, History Buffs, Culture Seekers, Tech & History Blend Seekers, Medieval Old Town Fans","Medieval old town, history, technology, Baltic charm",59.437,24.7536,"Step into a fairytale in Tallinn's incredibly preserved medieval Old Town, a UNESCO site with defensive walls. Explore its cobblestone streets and enjoy panoramic views from Toompea Hill. Tallinn perfectly blends medieval charm with modern Estonian culture."
29,Belgrade,Serbia,Serbian,city,Budget-friendly,"Spring, Summer","Nightlife, Historical, Riverfront, Cultural, Energetic","Young Adults, Budget Travelers, Nightlife Seekers, Energetic City Explorers, History Buffs (Complex)","Nightlife, history, riverfront, culture",44.7866,20.4489,"Discover Serbia's energetic capital where the Sava and Danube rivers meet, known for its lively nightlife. Explore the ancient Belgrade Fortress offering great river views and experience the bohemian Skadarlija street. Belgrade is a dynamic city."
30,Bucharest,Romania,Romanian,city,Budget-friendly,"Spring, Autumn","Architecture, Historical, Nightlife, Cultural, Evolving","Young Adults, Budget Travelers, Architecture Lovers (Communist-era & Modern), Nightlife Seekers, Evolving City Explorers","Architecture, history, nightlife, culture",44.4268,26.1025,"Explore Romania's capital, once called ""Little Paris,"" and see the massive Palace of the Parliament. Wander through the charming Old Town (Lipscani) with its lively cafes and bars. Bucharest offers a mix of grand architecture, history, and energy."
31,Sofia,Bulgaria,Bulgarian,city,Budget-friendly,"Spring, Autumn","Historical, Mountains Nearby, Cultural, Ancient & Modern","Couples, Budget Travelers, History Buffs, Culture Seekers, Mountain & City Blend Seekers, Religious History Fans","History, mountains nearby, culture",42.6977,23.3219,"Discover Bulgaria's capital with ancient Roman ruins alongside churches like the Alexander Nevsky Cathedral. Explore Vitosha Boulevard for shopping and cafes, and hike on nearby Vitosha Mountain. Sofia is a relaxed city with a rich history."
32,Zagreb,Croatia,Croatian,city,Mid-range,"Spring, Summer","Cultural, Historical, Austro-Hungarian Influence, Green Spaces, Lively","Couples, Culture Seekers, History Buffs, Green Space Lovers, Lively City Explorers, Coastal (nearby), Families","Culture, history, Austro-Hungarian influence, green spaces",45.815,15.9819,"Explore Croatia's charming capital, divided into the historic Upper Town and bustling Lower Town. Visit the unique Museum of Broken Relationships and enjoy Tkalčićeva Street's cafes. Zagreb offers Austro-Hungarian architecture and a friendly vibe."
33,Ljubljana,Slovenia,Slovenian,city,Mid-range,"Spring, Summer","Green City, Castle, Cultural, Alps Nearby, relax","Couples, Culture Seekers, Castle Lovers, Relaxed Travelers, Green City Enthusiasts, Nature Lovers (nearby mountains), Families","Green city, castle, culture, Alps nearby",46.0569,14.5058,Discover Slovenia's lovely capital with its beautiful bridges and hilltop castle. Explore the pedestrian-friendly city center designed by Jože Plečnik and enjoy the relaxed cafe culture. Ljubljana is a green and charming city.
34,Bratislava,Slovakia,Slovak,city,Budget-friendly to Mid-range,"Spring, Summer","Castle, Historical, Danube River, Cultural, Charm","Couples, Budget Travelers, Castle Lovers, History Buffs, Danube River Views Seekers, Wine Lovers (nearby), Families","Castle, history, Danube River, culture",48.1486,17.1077,"Explore the charming Old Town of Slovakia's capital below Bratislava Castle, offering Danube views. Look for quirky statues dotted around the city and enjoy affordable food and drinks. Bratislava is a compact and pleasant city."
35,Bern,Switzerland,"German, French, Italian, Romansh",city,Luxury,Summer,"Medieval Old Town, Mountains Nearby, Swiss Charm, Historical","Couples, Culture Seekers, History Buffs, Swiss Charm Seekers, Mountain Views Lovers, Chocolate Lovers, Families","Medieval old town, mountains nearby, Swiss charm",46.948,7.4474,"Wander through the incredibly well-preserved medieval Old Town, a UNESCO site. See the famous Zytglogge clock tower, admire the Aare river's turquoise waters, and visit the bear park. Bern is a charming and picturesque Swiss city."
36,Zurich,Switzerland,German,city,Luxury,Summer,"Lake, Mountains Nearby, Cosmopolitan, Finance, Cultural","Couples, Luxury Travelers, City & Nature Blend Seekers, Cosmopolitan Vibe Seekers, Finance Professionals, Shoppers, Families","Lake, mountains nearby, cosmopolitan, finance, culture",47.3769,8.5417,"Discover Switzerland's largest city, a global finance center on beautiful Lake Zurich. Explore the charming Old Town (Altstadt), visit world-class museums, and enjoy high-end shopping. Zurich combines modernity with historic charm and nature."
37,Geneva,Switzerland,French,city,Luxury,Summer,"Lake, International Organizations, Diplomacy, French Influence","Couples, Luxury Travelers, Diplomacy & International Affairs Enthusiasts, French Culture Fans, Lake Geneva Lovers, Families","Lake, international organizations, diplomacy, French influence",46.2044,6.1432,"Explore this international city on Lake Geneva with its iconic Jet d'Eau fountain. Visit the charming Old Town, stroll through beautiful parks, and learn about watchmaking history. Geneva offers diplomacy, culture, and lakeside scenery."
38,Brussels,Belgium,"French, Dutch, German",city,Mid-range,"Spring, Summer","Chocolate, Beer, EU Capital, Art Nouveau, Cultural, Historical","Couples, Culture Seekers, foods (Chocolate & Beer), History Buffs, EU Interest Seekers, Comic Strip Fans, Families","Chocolate, beer, EU Capital, Art Nouveau",50.8503,4.3517,"Discover the capital of Belgium, famous for its stunning Grand-Place square and the Atomium. Indulge in delicious Belgian chocolates, waffles, and beers, and see the Manneken Pis statue. Brussels is a multicultural hub and home to the EU."
39,Antwerp,Belgium,Dutch,city,Mid-range to Luxury,"Spring, Summer","Diamonds, Fashion, Art, Port City, Cultural","Couples, Art Lovers, Fashion Enthusiasts, Port City Explorers, Diamond Interest Seekers, Families","Diamonds, fashion, art, port city",51.2194,4.4025,"Explore Belgium's cool second city, known for diamonds and fashion design. Admire the beautiful Central Station and the impressive Cathedral of Our Lady in the historic center. Antwerp offers a mix of history, art, and trendy vibes."
40,Valencia,Spain,"Spanish, Valencian",city,Mid-range,"Spring, Late Summer, Early Autumn","City of Arts & Sciences, Beaches, Paella, Modern & Historic","Families, Beach Lovers, foods (Paella), Modern Architecture Fans (City of Arts & Sciences), City Explorers","City of Arts & Sciences, beaches, paella, modern & historic",39.4699,-0.3763,"Enjoy Spain's third-largest city, famous for its futuristic City of Arts and Sciences and the birthplace of paella. Relax on wide sandy beaches and explore the charming Old Town with its Central Market. Valencia offers culture, food, and sunshine."
41,Porto,Portugal,Portuguese,city,Budget-friendly to Mid-range,"Spring, Autumn","Port Wine, Historical, Bridges, Colorful Ribeira District, Hills","Couples, Budget Travelers, History Buffs, Port Wine Lovers, Colorful City Explorers, River Views Seekers, Families","Port wine, history, bridges, colorful Ribeira district",41.1579,-8.6291,"Discover Portugal's charming second city, famous for its Port wine cellars across the Douro River. Explore the colorful Ribeira district, a UNESCO site, and cross the iconic Dom Luís I Bridge. Porto is a historic city with stunning views."
42,Naples,Italy,Italian,city,Budget-friendly,"Spring, Autumn","Pizza, Historical, Vesuvius & Pompeii Nearby, Chaotic & Energetic","Young Adults, Budget Travelers, History Buffs, foods (Pizza), Energetic City Explorers, Archaeology Fans (nearby Pompeii)","Pizza, history, Vesuvius & Pompeii nearby, chaotic & energetic",40.8518,14.2681,"Explore the vibrant birthplace of pizza, near Mount Vesuvius and Pompeii ruins. Discover historic castles, underground tunnels, and incredible museums. Naples is a city full of passion, history, and amazing food."
43,Glasgow,Scotland,"English, Scots, Scottish Gaelic",city,Mid-range,"Spring, Summer","Culture, Music, Victorian Architecture, Friendly, Vibrant","Couples, Culture Seekers, Music Lovers, Architecture Enthusiasts (Mackintosh), Friendly City Seekers, Nightlife Seekers, Families","Culture, music, Victorian architecture, friendly",55.8642,-4.2518,"Discover Scotland's largest city, known for friendly locals, a vibrant music scene, and impressive Victorian architecture. Explore world-class museums (many free!) and enjoy lively pubs. Glasgow offers culture, history, and creativity."
44,Marseille,France,French,city,Mid-range,"Spring, Summer","Port City, Mediterranean Vibe, Historical, Multicultural, Beaches","Couples, Culture Seekers, History Buffs, Beach Lovers (nearby Calanques), Mediterranean Vibe Seekers, Port City Explorers, Families","Port city, Mediterranean vibe, history, multicultural",43.2965,5.3698,"Explore France's oldest city, a vibrant Mediterranean port with the stunning Calanques National Park nearby. Visit the historic Old Port and climb to Notre-Dame de la Garde for panoramic views. Marseille blends history, culture, and coastal beauty."
45,Lyon,France,French,city,Mid-range,"Spring, Autumn","Gastronomy, Historical, Rivers Confluence, Silk Weaving History","Couples, foods, History Buffs (Roman), River Scenery Lovers, Gastronomy Enthusiasts, Silk Weaving History Fans, Families","Gastronomy, history, rivers confluence, silk weaving history",45.764,4.8357,"Discover France's gastronomic capital, famous for its traditional 'bouchon' restaurants. Explore historic Old Lyon (Vieux Lyon), a UNESCO site, and ride the funicular up Fourvière hill. Lyon is a city for food lovers and history buffs."
46,Greek Islands (Cyclades),Greece,Greek,island_group,Mid-range to Luxury,"Late Spring, Summer, Early Autumn","Island Hopping, Beaches, Nightlife, Relaxing, Cultural","Couples, Young Adults, Groups, Beach Lovers, Nightlife Seekers, Island Hoppers, Romantic Getaways (Santorini)","Iconic white villages, beaches, nightlife, volcanic landscapes",37,25,"Dream of whitewashed villages, blue-domed churches, and stunning sunsets, like on Santorini and Mykonos. Hop between islands known for beautiful beaches, clear turquoise waters, and lively atmospheres. The Cyclades offer the picture-perfect Greek island experience."
47,Greek Islands (Dodecanese),Greece,Greek,island_group,Mid-range,"Spring, Summer, Autumn","Historical, Beaches, Relaxing, Island Hopping, Cultural","Couples, Families, History Buffs (Knights of St John), Beach Lovers, Island Hoppers, Relaxation Seekers","History (Knights of St. John), beaches, Byzantine sites, charming towns",36,27,"Explore islands near Turkey, known for medieval castles, beautiful beaches, and mixed influences, like Rhodes and Kos. Discover fascinating history, enjoy water sports, and relax in charming harbor towns. The Dodecanese offer culture, history, and sun."
48,Greek Islands (Ionian),Greece,Greek,island_group,Mid-range,"Late Spring, Summer, Early Autumn","Relaxing, Beaches, Nature, Scenic","Couples, Families, Nature Lovers, Beach Lovers, Relaxation Seekers, Sailing Enthusiasts, Italian Influence Seekers","Lush greenery, beautiful beaches, Venetian architecture, nature",38.5,20.5,"Discover lush green islands with stunning cliffs dropping into turquoise waters, like Corfu and Zakynthos. Enjoy beautiful beaches, Venetian architecture, and a more relaxed atmosphere. The Ionian Islands offer dramatic scenery and beautiful coastlines."
49,Balearic Islands,Spain,"Spanish, Catalan",island_group,Mid-range to Luxury,Summer,"Beaches, Nightlife (Ibiza), Hiking (Mallorca) (Menorca), Relaxing","Young Adults, Groups, Families, Beach Lovers, Nightlife Seekers (Ibiza/Majorca), Hikers (Majorca), Relaxation Seekers (Menorca)","Beaches, nightlife, hiking, family-friendly options, bohemian vibes",39.6953,3.0176,"Choose your perfect Spanish island escape, from lively Ibiza and beachy Mallorca to relaxed Menorca and Formentera. Enjoy beautiful coves, clear waters, delicious food, and vibrant towns. The Balearics offer diverse experiences under the Mediterranean sun."
50,Canary Islands,Spain,Spanish,island_group,Mid-range,Year-round (Spring/Autumn ideal),"Beaches, Volcanic Landscapes, Hiking, Water Sports, Nature, Sun","Couples, Families, Adventure Seekers (Hiking/Water Sports), Nature Lovers, Sun Seekers, Stargazers (Tenerife/La Palma)","Volcanic landscapes, year-round sun, beaches, hiking, unique nature",28.2916,-16.6291,"Escape to Spanish islands off Africa's coast, known for year-round warmth and diverse volcanic landscapes like Tenerife and Lanzarote. Enjoy stunning beaches, hike in national parks, and relax in popular resorts. The Canaries are perfect for sunshine anytime."
51,Madeira,Portugal,Portuguese,island,Mid-range,"Spring, Summer, Autumn","Nature, Hiking, Flowers, Gardens, Relaxing, Island Getaway","Couples, Nature Lovers, Hikers, Garden Enthusiasts, Relaxed Travelers, Levada Walkers","Flowers, hiking (levadas), gardens, volcanic scenery",32.7607,-16.9595,"Discover Portugal's ""floating garden"" island, famous for its lush landscapes, unique levada walks (irrigation channel paths), and fortified wine. Explore the charming capital Funchal and enjoy dramatic cliffs and stunning viewpoints. Madeira offers beautiful nature and relaxing charm."
52,Azores,Portugal,Portuguese,island_group,Mid-range,"Late Spring, Summer, Early Autumn","Nature, Whale Watching, Hot Springs, Volcanic Landscapes, Adventure, Hiking","Couples, Adventure Seekers, Nature Lovers, Wildlife Enthusiasts (Whale Watching), Unique Experience Seekers, Hiking Fans","Volcanic landscapes, whales, hot springs, nature, unique ecosystems",37.7411,-25.6756,"Explore a remote group of Portuguese volcanic islands in the Atlantic, known for incredible whale watching, hot springs, and vibrant green crater lakes. Hike stunning trails, visit Europe's oldest tea plantation, and enjoy unique local experiences. The Azores offer dramatic natural beauty and adventure."
53,Maltese Islands,Malta,"Maltese, English",island_group,Mid-range,"Spring, Autumn","Historical, Beaches, Diving, Cultural, Mediterranean","Couples, History Buffs, Divers, Culture Seekers, Beach Lovers, Religious History Fans, Families","History (Megalithic temples, Knights of Malta), beaches, diving",35.9375,14.3754,"Discover sunny islands in the Mediterranean, packed with history including ancient temples, walled cities like Valletta and Mdina, and clear blue waters. Explore Malta, Gozo, and Comino, known for beautiful swimming spots like the Blue Lagoon. Malta offers a rich blend of culture, history, and seaside relaxation."
54,Sardinia,Italy,Italian,island,Mid-range to Luxury,"Late Spring, Summer, Early Autumn","Beaches, Rugged Interior, Hiking, Luxury Resorts, Historical","Couples, Luxury Travelers, Beach Lovers, Hikers, History Buffs, Glamour Seekers, foods","Beaches, rugged interior, Nuragic sites, luxury resorts, hiking",40.4897,9.0129,"Explore this large Italian island known for its stunningly beautiful beaches with white sand and turquoise waters, like Cala Brandinchi (""Little Tahiti""). Discover unique Nuragic stone ruins, rugged inland mountains perfect for hiking, and delicious local cuisine. Sardinia offers incredible coastlines and ancient mysteries."
55,Sicily,Italy,Italian,island,Mid-range,"Spring, Autumn","Volcanoes, Historical, Baroque Towns, Beaches, food, Cultural","Couples, History Buffs, foods, Culture Seekers, Beach Lovers, Volcano Enthusiasts (Etna), Archaeology Fans, Families","Volcanoes (Etna), history (Greek & Roman), Baroque towns, beaches, food",37.5,14,"Discover Italy's largest island, home to the active Mount Etna volcano, ancient Greek temples, and vibrant cities like Palermo and Catania. Enjoy delicious Sicilian food, explore beautiful beaches, and soak up the rich history and culture. Sicily offers a passionate mix of landscapes, history, and flavours."
56,Corsica,France,"French, Corsican",island,Mid-range,"Late Spring, Summer, Early Autumn","Mountains, Hiking, Beaches, Rugged Coastline, Nature","Couples, Adventure Seekers, Hikers, Beach Lovers, Nature Enthusiasts, French & Italian Culture Blend","Mountains, hiking (GR20), beaches, rugged coastline",42.0333,9.0167,"Explore this mountainous French island known as the ""Island of Beauty,"" with stunning diverse landscapes from dramatic cliffs and beaches to rugged peaks. Discover charming perched villages, hike challenging trails, and explore reserves like Scandola by boat. Corsica offers wild natural beauty and outdoor adventure."
